Dispatched Date,Partner,Location,Asset,MAC Number,Serial Number,WAN MAC
10.03.2025,Apfel Fibernet,Tuticorin,Switch,S5720-12TP-LI-AC,F4B78D90EEC1,21980105673GLB001403
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:AE,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:F0,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:C8,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:8F,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:E3,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:80,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:A9,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:9D,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:CD,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:7F,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:01:25,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:FC,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:01:2C,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:B8,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:F9,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:01:29,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:7D,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:DC,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:01:34,,
24.03.2025,TDN Fiber,Kanchipuram,Set Top Box,02:16:24:04:00:8D,,
24.03.2025,TDN Fiber,Kanchipuram,T-Shirts,SKYPLAY T Shirt L,6 nos,Each color 2 nos
24.03.2025,TDN Fiber,Kanchipuram,T-Shirts,SKYPLAY T Shirt XL,6 nos,Each color 2 nos
24.03.2025,TDN Fiber,Kanchipuram,Brouchers,500,,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E78F40,GPON00E78F40,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E7FF80,GPON00E7FF80,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E65A20,GPON00E65A20,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E74B60,GPON00E74B60,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E63330,GPON00E63330,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E63CF0,GPON00E63CF0,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2DD5319,GPON00DD5319,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E78F20,GPON00E78F20,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2DD5C49,GPON00DD5C49,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E68860,GPON00E68860,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E66140,GPON00E66140,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E7F820,GPON00E7F820,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E66660,GPON00E66660,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E74600,GPON00E74600,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2DD4959,GPON00DD4959,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2DD4089,GPON00DD4089,
24.03.2025,TDN Fiber,Kanchipuram,Dual Band ONT,989DB2E61DF0,GPON00E61DF0,
